RelationshipNumber,BusinessPartnerCompany,BusinessPartnerPerson,ValidityEndDate,AddressID,OrdinalNumber,IsDefaultFaxNumber,FaxCountry,FaxAreaCodeSubscriberNumber,FaxNumberExtension,InternationalFaxNumber
mbr-29429768,r-29429768,r-29429768,2003-12-13,r-29429768,768,true,768,aCodeSubscriberNumber-29429768,n-29429768,nternationalFaxNumber-29429768
mbr-29429769,r-29429769,r-29429769,2018-08-08,r-29429769,769,false,769,aCodeSubscriberNumber-29429769,n-29429769,nternationalFaxNumber-29429769
mbr-29429770,r-29429770,r-29429770,2009-12-06,r-29429770,770,true,770,aCodeSubscriberNumber-29429770,n-29429770,nternationalFaxNumber-29429770
mbr-29429771,r-29429771,r-29429771,2011-06-15,r-29429771,771,false,771,aCodeSubscriberNumber-29429771,n-29429771,nternationalFaxNumber-29429771
mbr-29429772,r-29429772,r-29429772,2006-03-13,r-29429772,772,true,772,aCodeSubscriberNumber-29429772,n-29429772,nternationalFaxNumber-29429772
mbr-29429773,r-29429773,r-29429773,2002-04-28,r-29429773,773,false,773,aCodeSubscriberNumber-29429773,n-29429773,nternationalFaxNumber-29429773
mbr-29429774,r-29429774,r-29429774,2013-02-26,r-29429774,774,true,774,aCodeSubscriberNumber-29429774,n-29429774,nternationalFaxNumber-29429774
mbr-29429775,r-29429775,r-29429775,2015-01-26,r-29429775,775,false,775,aCodeSubscriberNumber-29429775,n-29429775,nternationalFaxNumber-29429775
mbr-29429776,r-29429776,r-29429776,2001-09-08,r-29429776,776,true,776,aCodeSubscriberNumber-29429776,n-29429776,nternationalFaxNumber-29429776
mbr-29429777,r-29429777,r-29429777,2009-12-29,r-29429777,777,false,777,aCodeSubscriberNumber-29429777,n-29429777,nternationalFaxNumber-29429777
mbr-29429778,r-29429778,r-29429778,2005-02-22,r-29429778,778,true,778,aCodeSubscriberNumber-29429778,n-29429778,nternationalFaxNumber-29429778
mbr-29429779,r-29429779,r-29429779,2017-04-26,r-29429779,779,false,779,aCodeSubscriberNumber-29429779,n-29429779,nternationalFaxNumber-29429779
mbr-29429780,r-29429780,r-29429780,2019-02-23,r-29429780,780,true,780,aCodeSubscriberNumber-29429780,n-29429780,nternationalFaxNumber-29429780
mbr-29429781,r-29429781,r-29429781,2000-08-30,r-29429781,781,false,781,aCodeSubscriberNumber-29429781,n-29429781,nternationalFaxNumber-29429781
mbr-29429782,r-29429782,r-29429782,2002-04-28,r-29429782,782,true,782,aCodeSubscriberNumber-29429782,n-29429782,nternationalFaxNumber-29429782
mbr-29429783,r-29429783,r-29429783,2023-09-05,r-29429783,783,false,783,aCodeSubscriberNumber-29429783,n-29429783,nternationalFaxNumber-29429783
mbr-29429784,r-29429784,r-29429784,2022-08-15,r-29429784,784,true,784,aCodeSubscriberNumber-29429784,n-29429784,nternationalFaxNumber-29429784
mbr-29429785,r-29429785,r-29429785,2018-12-19,r-29429785,785,false,785,aCodeSubscriberNumber-29429785,n-29429785,nternationalFaxNumber-29429785
mbr-29429786,r-29429786,r-29429786,2002-10-22,r-29429786,786,true,786,aCodeSubscriberNumber-29429786,n-29429786,nternationalFaxNumber-29429786
mbr-29429787,r-29429787,r-29429787,2004-08-30,r-29429787,787,false,787,aCodeSubscriberNumber-29429787,n-29429787,nternationalFaxNumber-29429787
mbr-29429788,r-29429788,r-29429788,2018-12-25,r-29429788,788,true,788,aCodeSubscriberNumber-29429788,n-29429788,nternationalFaxNumber-29429788
mbr-29429789,r-29429789,r-29429789,2016-01-02,r-29429789,789,false,789,aCodeSubscriberNumber-29429789,n-29429789,nternationalFaxNumber-29429789
mbr-29429790,r-29429790,r-29429790,2001-08-06,r-29429790,790,true,790,aCodeSubscriberNumber-29429790,n-29429790,nternationalFaxNumber-29429790
mbr-29429791,r-29429791,r-29429791,2010-04-13,r-29429791,791,false,791,aCodeSubscriberNumber-29429791,n-29429791,nternationalFaxNumber-29429791
mbr-29429792,r-29429792,r-29429792,2010-12-25,r-29429792,792,true,792,aCodeSubscriberNumber-29429792,n-29429792,nternationalFaxNumber-29429792
mbr-29429793,r-29429793,r-29429793,2011-06-30,r-29429793,793,false,793,aCodeSubscriberNumber-29429793,n-29429793,nternationalFaxNumber-29429793
mbr-29429794,r-29429794,r-29429794,2000-01-18,r-29429794,794,true,794,aCodeSubscriberNumber-29429794,n-29429794,nternationalFaxNumber-29429794
mbr-29429795,r-29429795,r-29429795,2004-10-10,r-29429795,795,false,795,aCodeSubscriberNumber-29429795,n-29429795,nternationalFaxNumber-29429795
mbr-29429796,r-29429796,r-29429796,2015-03-13,r-29429796,796,true,796,aCodeSubscriberNumber-29429796,n-29429796,nternationalFaxNumber-29429796
mbr-29429797,r-29429797,r-29429797,2013-02-06,r-29429797,797,false,797,aCodeSubscriberNumber-29429797,n-29429797,nternationalFaxNumber-29429797
mbr-29429798,r-29429798,r-29429798,2014-07-20,r-29429798,798,true,798,aCodeSubscriberNumber-29429798,n-29429798,nternationalFaxNumber-29429798
mbr-29429799,r-29429799,r-29429799,2000-09-29,r-29429799,799,false,799,aCodeSubscriberNumber-29429799,n-29429799,nternationalFaxNumber-29429799
mbr-29429800,r-29429800,r-29429800,2020-11-13,r-29429800,800,true,800,aCodeSubscriberNumber-29429800,n-29429800,nternationalFaxNumber-29429800
mbr-29429801,r-29429801,r-29429801,2020-08-28,r-29429801,801,false,801,aCodeSubscriberNumber-29429801,n-29429801,nternationalFaxNumber-29429801
mbr-29429802,r-29429802,r-29429802,2004-01-12,r-29429802,802,true,802,aCodeSubscriberNumber-29429802,n-29429802,nternationalFaxNumber-29429802
mbr-29429803,r-29429803,r-29429803,2022-07-09,r-29429803,803,false,803,aCodeSubscriberNumber-29429803,n-29429803,nternationalFaxNumber-29429803
mbr-29429804,r-29429804,r-29429804,2006-05-27,r-29429804,804,true,804,aCodeSubscriberNumber-29429804,n-29429804,nternationalFaxNumber-29429804
mbr-29429805,r-29429805,r-29429805,2014-07-24,r-29429805,805,false,805,aCodeSubscriberNumber-29429805,n-29429805,nternationalFaxNumber-29429805
mbr-29429806,r-29429806,r-29429806,2000-10-09,r-29429806,806,true,806,aCodeSubscriberNumber-29429806,n-29429806,nternationalFaxNumber-29429806
mbr-29429807,r-29429807,r-29429807,2013-12-21,r-29429807,807,false,807,aCodeSubscriberNumber-29429807,n-29429807,nternationalFaxNumber-29429807
mbr-29429808,r-29429808,r-29429808,2011-07-01,r-29429808,808,true,808,aCodeSubscriberNumber-29429808,n-29429808,nternationalFaxNumber-29429808
mbr-29429809,r-29429809,r-29429809,2005-10-13,r-29429809,809,false,809,aCodeSubscriberNumber-29429809,n-29429809,nternationalFaxNumber-29429809
mbr-29429810,r-29429810,r-29429810,2005-07-18,r-29429810,810,true,810,aCodeSubscriberNumber-29429810,n-29429810,nternationalFaxNumber-29429810
mbr-29429811,r-29429811,r-29429811,2003-08-03,r-29429811,811,false,811,aCodeSubscriberNumber-29429811,n-29429811,nternationalFaxNumber-29429811
mbr-29429812,r-29429812,r-29429812,2021-11-05,r-29429812,812,true,812,aCodeSubscriberNumber-29429812,n-29429812,nternationalFaxNumber-29429812
mbr-29429813,r-29429813,r-29429813,2009-05-16,r-29429813,813,false,813,aCodeSubscriberNumber-29429813,n-29429813,nternationalFaxNumber-29429813
mbr-29429814,r-29429814,r-29429814,2013-08-28,r-29429814,814,true,814,aCodeSubscriberNumber-29429814,n-29429814,nternationalFaxNumber-29429814
mbr-29429815,r-29429815,r-29429815,2017-10-27,r-29429815,815,false,815,aCodeSubscriberNumber-29429815,n-29429815,nternationalFaxNumber-29429815
mbr-29429816,r-29429816,r-29429816,2008-07-01,r-29429816,816,true,816,aCodeSubscriberNumber-29429816,n-29429816,nternationalFaxNumber-29429816
mbr-29429817,r-29429817,r-29429817,2003-11-04,r-29429817,817,false,817,aCodeSubscriberNumber-29429817,n-29429817,nternationalFaxNumber-29429817
mbr-29429818,r-29429818,r-29429818,2008-11-29,r-29429818,818,true,818,aCodeSubscriberNumber-29429818,n-29429818,nternationalFaxNumber-29429818
mbr-29429819,r-29429819,r-29429819,2004-12-08,r-29429819,819,false,819,aCodeSubscriberNumber-29429819,n-29429819,nternationalFaxNumber-29429819
mbr-29429820,r-29429820,r-29429820,2006-06-08,r-29429820,820,true,820,aCodeSubscriberNumber-29429820,n-29429820,nternationalFaxNumber-29429820
mbr-29429821,r-29429821,r-29429821,2016-11-28,r-29429821,821,false,821,aCodeSubscriberNumber-29429821,n-29429821,nternationalFaxNumber-29429821
mbr-29429822,r-29429822,r-29429822,2021-12-19,r-29429822,822,true,822,aCodeSubscriberNumber-29429822,n-29429822,nternationalFaxNumber-29429822
mbr-29429823,r-29429823,r-29429823,2003-08-25,r-29429823,823,false,823,aCodeSubscriberNumber-29429823,n-29429823,nternationalFaxNumber-29429823
mbr-29429824,r-29429824,r-29429824,2002-04-25,r-29429824,824,true,824,aCodeSubscriberNumber-29429824,n-29429824,nternationalFaxNumber-29429824
mbr-29429825,r-29429825,r-29429825,2005-11-06,r-29429825,825,false,825,aCodeSubscriberNumber-29429825,n-29429825,nternationalFaxNumber-29429825
mbr-29429826,r-29429826,r-29429826,2020-09-21,r-29429826,826,true,826,aCodeSubscriberNumber-29429826,n-29429826,nternationalFaxNumber-29429826
mbr-29429827,r-29429827,r-29429827,2019-01-03,r-29429827,827,false,827,aCodeSubscriberNumber-29429827,n-29429827,nternationalFaxNumber-29429827
mbr-29429828,r-29429828,r-29429828,2019-02-23,r-29429828,828,true,828,aCodeSubscriberNumber-29429828,n-29429828,nternationalFaxNumber-29429828
mbr-29429829,r-29429829,r-29429829,2003-11-17,r-29429829,829,false,829,aCodeSubscriberNumber-29429829,n-29429829,nternationalFaxNumber-29429829
mbr-29429830,r-29429830,r-29429830,2010-05-07,r-29429830,830,true,830,aCodeSubscriberNumber-29429830,n-29429830,nternationalFaxNumber-29429830
mbr-29429831,r-29429831,r-29429831,2012-05-04,r-29429831,831,false,831,aCodeSubscriberNumber-29429831,n-29429831,nternationalFaxNumber-29429831
mbr-29429832,r-29429832,r-29429832,2018-12-27,r-29429832,832,true,832,aCodeSubscriberNumber-29429832,n-29429832,nternationalFaxNumber-29429832
mbr-29429833,r-29429833,r-29429833,2009-11-27,r-29429833,833,false,833,aCodeSubscriberNumber-29429833,n-29429833,nternationalFaxNumber-29429833
mbr-29429834,r-29429834,r-29429834,2002-09-28,r-29429834,834,true,834,aCodeSubscriberNumber-29429834,n-29429834,nternationalFaxNumber-29429834
mbr-29429835,r-29429835,r-29429835,2000-09-22,r-29429835,835,false,835,aCodeSubscriberNumber-29429835,n-29429835,nternationalFaxNumber-29429835
mbr-29429836,r-29429836,r-29429836,2006-08-23,r-29429836,836,true,836,aCodeSubscriberNumber-29429836,n-29429836,nternationalFaxNumber-29429836
mbr-29429837,r-29429837,r-29429837,2019-06-01,r-29429837,837,false,837,aCodeSubscriberNumber-29429837,n-29429837,nternationalFaxNumber-29429837
mbr-29429838,r-29429838,r-29429838,2008-08-30,r-29429838,838,true,838,aCodeSubscriberNumber-29429838,n-29429838,nternationalFaxNumber-29429838
mbr-29429839,r-29429839,r-29429839,2006-01-05,r-29429839,839,false,839,aCodeSubscriberNumber-29429839,n-29429839,nternationalFaxNumber-29429839
mbr-29429840,r-29429840,r-29429840,2017-11-01,r-29429840,840,true,840,aCodeSubscriberNumber-29429840,n-29429840,nternationalFaxNumber-29429840
mbr-29429841,r-29429841,r-29429841,2021-04-07,r-29429841,841,false,841,aCodeSubscriberNumber-29429841,n-29429841,nternationalFaxNumber-29429841
mbr-29429842,r-29429842,r-29429842,2022-12-31,r-29429842,842,true,842,aCodeSubscriberNumber-29429842,n-29429842,nternationalFaxNumber-29429842
mbr-29429843,r-29429843,r-29429843,2015-10-15,r-29429843,843,false,843,aCodeSubscriberNumber-29429843,n-29429843,nternationalFaxNumber-29429843
mbr-29429844,r-29429844,r-29429844,2010-02-25,r-29429844,844,true,844,aCodeSubscriberNumber-29429844,n-29429844,nternationalFaxNumber-29429844
mbr-29429845,r-29429845,r-29429845,2020-01-27,r-29429845,845,false,845,aCodeSubscriberNumber-29429845,n-29429845,nternationalFaxNumber-29429845
mbr-29429846,r-29429846,r-29429846,2003-01-16,r-29429846,846,true,846,aCodeSubscriberNumber-29429846,n-29429846,nternationalFaxNumber-29429846
mbr-29429847,r-29429847,r-29429847,2018-09-12,r-29429847,847,false,847,aCodeSubscriberNumber-29429847,n-29429847,nternationalFaxNumber-29429847
mbr-29429848,r-29429848,r-29429848,2000-12-19,r-29429848,848,true,848,aCodeSubscriberNumber-29429848,n-29429848,nternationalFaxNumber-29429848
mbr-29429849,r-29429849,r-29429849,2021-04-21,r-29429849,849,false,849,aCodeSubscriberNumber-29429849,n-29429849,nternationalFaxNumber-29429849
mbr-29429850,r-29429850,r-29429850,2020-06-10,r-29429850,850,true,850,aCodeSubscriberNumber-29429850,n-29429850,nternationalFaxNumber-29429850
mbr-29429851,r-29429851,r-29429851,2001-12-13,r-29429851,851,false,851,aCodeSubscriberNumber-29429851,n-29429851,nternationalFaxNumber-29429851
mbr-29429852,r-29429852,r-29429852,2003-05-03,r-29429852,852,true,852,aCodeSubscriberNumber-29429852,n-29429852,nternationalFaxNumber-29429852
mbr-29429853,r-29429853,r-29429853,2020-06-14,r-29429853,853,false,853,aCodeSubscriberNumber-29429853,n-29429853,nternationalFaxNumber-29429853
mbr-29429854,r-29429854,r-29429854,2008-01-07,r-29429854,854,true,854,aCodeSubscriberNumber-29429854,n-29429854,nternationalFaxNumber-29429854
mbr-29429855,r-29429855,r-29429855,2002-02-07,r-29429855,855,false,855,aCodeSubscriberNumber-29429855,n-29429855,nternationalFaxNumber-29429855
mbr-29429856,r-29429856,r-29429856,2017-06-07,r-29429856,856,true,856,aCodeSubscriberNumber-29429856,n-29429856,nternationalFaxNumber-29429856
mbr-29429857,r-29429857,r-29429857,2010-04-22,r-29429857,857,false,857,aCodeSubscriberNumber-29429857,n-29429857,nternationalFaxNumber-29429857
mbr-29429858,r-29429858,r-29429858,2011-05-14,r-29429858,858,true,858,aCodeSubscriberNumber-29429858,n-29429858,nternationalFaxNumber-29429858
mbr-29429859,r-29429859,r-29429859,2000-04-18,r-29429859,859,false,859,aCodeSubscriberNumber-29429859,n-29429859,nternationalFaxNumber-29429859
mbr-29429860,r-29429860,r-29429860,2006-11-12,r-29429860,860,true,860,aCodeSubscriberNumber-29429860,n-29429860,nternationalFaxNumber-29429860
mbr-29429861,r-29429861,r-29429861,2006-03-11,r-29429861,861,false,861,aCodeSubscriberNumber-29429861,n-29429861,nternationalFaxNumber-29429861
mbr-29429862,r-29429862,r-29429862,2015-08-08,r-29429862,862,true,862,aCodeSubscriberNumber-29429862,n-29429862,nternationalFaxNumber-29429862
mbr-29429863,r-29429863,r-29429863,2023-03-10,r-29429863,863,false,863,aCodeSubscriberNumber-29429863,n-29429863,nternationalFaxNumber-29429863
mbr-29429864,r-29429864,r-29429864,2016-04-28,r-29429864,864,true,864,aCodeSubscriberNumber-29429864,n-29429864,nternationalFaxNumber-29429864
mbr-29429865,r-29429865,r-29429865,2001-02-23,r-29429865,865,false,865,aCodeSubscriberNumber-29429865,n-29429865,nternationalFaxNumber-29429865
mbr-29429866,r-29429866,r-29429866,2022-02-02,r-29429866,866,true,866,aCodeSubscriberNumber-29429866,n-29429866,nternationalFaxNumber-29429866
mbr-29429867,r-29429867,r-29429867,2011-06-17,r-29429867,867,false,867,aCodeSubscriberNumber-29429867,n-29429867,nternationalFaxNumber-29429867
