IndustrySector,IndustrySystemType,BusinessPartner,IsStandardIndustry,IndustryKeyDescription
y-26527824,7824,y-26527824,4,IndustryKeyDescription-26527824
y-26527825,7825,y-26527825,5,IndustryKeyDescription-26527825
y-26527826,7826,y-26527826,6,IndustryKeyDescription-26527826
y-26527827,7827,y-26527827,7,IndustryKeyDescription-26527827
y-26527828,7828,y-26527828,8,IndustryKeyDescription-26527828
y-26527829,7829,y-26527829,9,IndustryKeyDescription-26527829
y-26527830,7830,y-26527830,0,IndustryKeyDescription-26527830
y-26527831,7831,y-26527831,1,IndustryKeyDescription-26527831
y-26527832,7832,y-26527832,2,IndustryKeyDescription-26527832
y-26527833,7833,y-26527833,3,IndustryKeyDescription-26527833
y-26527834,7834,y-26527834,4,IndustryKeyDescription-26527834
y-26527835,7835,y-26527835,5,IndustryKeyDescription-26527835
y-26527836,7836,y-26527836,6,IndustryKeyDescription-26527836
y-26527837,7837,y-26527837,7,IndustryKeyDescription-26527837
y-26527838,7838,y-26527838,8,IndustryKeyDescription-26527838
y-26527839,7839,y-26527839,9,IndustryKeyDescription-26527839
y-26527840,7840,y-26527840,0,IndustryKeyDescription-26527840
y-26527841,7841,y-26527841,1,IndustryKeyDescription-26527841
y-26527842,7842,y-26527842,2,IndustryKeyDescription-26527842
y-26527843,7843,y-26527843,3,IndustryKeyDescription-26527843
y-26527844,7844,y-26527844,4,IndustryKeyDescription-26527844
y-26527845,7845,y-26527845,5,IndustryKeyDescription-26527845
y-26527846,7846,y-26527846,6,IndustryKeyDescription-26527846
y-26527847,7847,y-26527847,7,IndustryKeyDescription-26527847
y-26527848,7848,y-26527848,8,IndustryKeyDescription-26527848
y-26527849,7849,y-26527849,9,IndustryKeyDescription-26527849
y-26527850,7850,y-26527850,0,IndustryKeyDescription-26527850
y-26527851,7851,y-26527851,1,IndustryKeyDescription-26527851
y-26527852,7852,y-26527852,2,IndustryKeyDescription-26527852
y-26527853,7853,y-26527853,3,IndustryKeyDescription-26527853
y-26527854,7854,y-26527854,4,IndustryKeyDescription-26527854
y-26527855,7855,y-26527855,5,IndustryKeyDescription-26527855
y-26527856,7856,y-26527856,6,IndustryKeyDescription-26527856
y-26527857,7857,y-26527857,7,IndustryKeyDescription-26527857
y-26527858,7858,y-26527858,8,IndustryKeyDescription-26527858
y-26527859,7859,y-26527859,9,IndustryKeyDescription-26527859
y-26527860,7860,y-26527860,0,IndustryKeyDescription-26527860
y-26527861,7861,y-26527861,1,IndustryKeyDescription-26527861
y-26527862,7862,y-26527862,2,IndustryKeyDescription-26527862
y-26527863,7863,y-26527863,3,IndustryKeyDescription-26527863
y-26527864,7864,y-26527864,4,IndustryKeyDescription-26527864
y-26527865,7865,y-26527865,5,IndustryKeyDescription-26527865
y-26527866,7866,y-26527866,6,IndustryKeyDescription-26527866
y-26527867,7867,y-26527867,7,IndustryKeyDescription-26527867
y-26527868,7868,y-26527868,8,IndustryKeyDescription-26527868
y-26527869,7869,y-26527869,9,IndustryKeyDescription-26527869
y-26527870,7870,y-26527870,0,IndustryKeyDescription-26527870
y-26527871,7871,y-26527871,1,IndustryKeyDescription-26527871
y-26527872,7872,y-26527872,2,IndustryKeyDescription-26527872
y-26527873,7873,y-26527873,3,IndustryKeyDescription-26527873
y-26527874,7874,y-26527874,4,IndustryKeyDescription-26527874
y-26527875,7875,y-26527875,5,IndustryKeyDescription-26527875
y-26527876,7876,y-26527876,6,IndustryKeyDescription-26527876
y-26527877,7877,y-26527877,7,IndustryKeyDescription-26527877
y-26527878,7878,y-26527878,8,IndustryKeyDescription-26527878
y-26527879,7879,y-26527879,9,IndustryKeyDescription-26527879
y-26527880,7880,y-26527880,0,IndustryKeyDescription-26527880
y-26527881,7881,y-26527881,1,IndustryKeyDescription-26527881
y-26527882,7882,y-26527882,2,IndustryKeyDescription-26527882
y-26527883,7883,y-26527883,3,IndustryKeyDescription-26527883
y-26527884,7884,y-26527884,4,IndustryKeyDescription-26527884
y-26527885,7885,y-26527885,5,IndustryKeyDescription-26527885
y-26527886,7886,y-26527886,6,IndustryKeyDescription-26527886
y-26527887,7887,y-26527887,7,IndustryKeyDescription-26527887
y-26527888,7888,y-26527888,8,IndustryKeyDescription-26527888
y-26527889,7889,y-26527889,9,IndustryKeyDescription-26527889
y-26527890,7890,y-26527890,0,IndustryKeyDescription-26527890
y-26527891,7891,y-26527891,1,IndustryKeyDescription-26527891
y-26527892,7892,y-26527892,2,IndustryKeyDescription-26527892
y-26527893,7893,y-26527893,3,IndustryKeyDescription-26527893
y-26527894,7894,y-26527894,4,IndustryKeyDescription-26527894
y-26527895,7895,y-26527895,5,IndustryKeyDescription-26527895
y-26527896,7896,y-26527896,6,IndustryKeyDescription-26527896
y-26527897,7897,y-26527897,7,IndustryKeyDescription-26527897
y-26527898,7898,y-26527898,8,IndustryKeyDescription-26527898
y-26527899,7899,y-26527899,9,IndustryKeyDescription-26527899
y-26527900,7900,y-26527900,0,IndustryKeyDescription-26527900
y-26527901,7901,y-26527901,1,IndustryKeyDescription-26527901
y-26527902,7902,y-26527902,2,IndustryKeyDescription-26527902
y-26527903,7903,y-26527903,3,IndustryKeyDescription-26527903
y-26527904,7904,y-26527904,4,IndustryKeyDescription-26527904
y-26527905,7905,y-26527905,5,IndustryKeyDescription-26527905
y-26527906,7906,y-26527906,6,IndustryKeyDescription-26527906
y-26527907,7907,y-26527907,7,IndustryKeyDescription-26527907
y-26527908,7908,y-26527908,8,IndustryKeyDescription-26527908
y-26527909,7909,y-26527909,9,IndustryKeyDescription-26527909
y-26527910,7910,y-26527910,0,IndustryKeyDescription-26527910
y-26527911,7911,y-26527911,1,IndustryKeyDescription-26527911
y-26527912,7912,y-26527912,2,IndustryKeyDescription-26527912
y-26527913,7913,y-26527913,3,IndustryKeyDescription-26527913
y-26527914,7914,y-26527914,4,IndustryKeyDescription-26527914
y-26527915,7915,y-26527915,5,IndustryKeyDescription-26527915
y-26527916,7916,y-26527916,6,IndustryKeyDescription-26527916
y-26527917,7917,y-26527917,7,IndustryKeyDescription-26527917
y-26527918,7918,y-26527918,8,IndustryKeyDescription-26527918
y-26527919,7919,y-26527919,9,IndustryKeyDescription-26527919
y-26527920,7920,y-26527920,0,IndustryKeyDescription-26527920
y-26527921,7921,y-26527921,1,IndustryKeyDescription-26527921
y-26527922,7922,y-26527922,2,IndustryKeyDescription-26527922
y-26527923,7923,y-26527923,3,IndustryKeyDescription-26527923
