Customer,CompanyCode,APARToleranceGroup,AccountByCustomer,AccountingClerk,AccountingClerkFaxNumber,AccountingClerkInternetAddress,AccountingClerkPhoneNumber,AlternativePayerAccount,AuthorizationGroup,CollectiveInvoiceVariant,CustomerAccountNote,CustomerHeadOffice,CustomerSupplierClearingIsUsed,HouseBank,InterestCalculationCode,InterestCalculationDate,IntrstCalcFrequencyInMonths,IsToBeLocallyProcessed,ItemIsToBePaidSeparately,LayoutSortingRule,PaymentBlockingReason,PaymentMethodsList,PaymentReason,PaymentTerms,PaytAdviceIsSentbyEDI,PhysicalInventoryBlockInd,ReconciliationAccount,RecordPaymentHistoryIndicator,UserAtCustomer,DeletionIndicator,CashPlanningGroup,KnownOrNegotiatedLeave,ValueAdjustmentKey,CustomerAccountGroup
y-25353788,3788,3788,mer-25353788,88,countingClerkFaxNumber-25353788,AccountingClerkInternetAddress-25353788,ntingClerkPhoneNumber-25353788,t-25353788,3788,8,CustomerAccountNote-25353788,e-25353788,true,53788,88,2020-04-06,88,true,true,788,8,t-25353788,3788,3788,true,true,t-25353788,true,stomer-25353788,true,p-25353788,3788,88,3788
y-25353789,3789,3789,mer-25353789,89,countingClerkFaxNumber-25353789,AccountingClerkInternetAddress-25353789,ntingClerkPhoneNumber-25353789,t-25353789,3789,9,CustomerAccountNote-25353789,e-25353789,false,53789,89,2002-12-12,89,false,false,789,9,t-25353789,3789,3789,false,false,t-25353789,false,stomer-25353789,false,p-25353789,3789,89,3789
y-25353790,3790,3790,mer-25353790,90,countingClerkFaxNumber-25353790,AccountingClerkInternetAddress-25353790,ntingClerkPhoneNumber-25353790,t-25353790,3790,0,CustomerAccountNote-25353790,e-25353790,true,53790,90,2016-02-17,90,true,true,790,0,t-25353790,3790,3790,true,true,t-25353790,true,stomer-25353790,true,p-25353790,3790,90,3790
y-25353791,3791,3791,mer-25353791,91,countingClerkFaxNumber-25353791,AccountingClerkInternetAddress-25353791,ntingClerkPhoneNumber-25353791,t-25353791,3791,1,CustomerAccountNote-25353791,e-25353791,false,53791,91,2017-05-20,91,false,false,791,1,t-25353791,3791,3791,false,false,t-25353791,false,stomer-25353791,false,p-25353791,3791,91,3791
y-25353792,3792,3792,mer-25353792,92,countingClerkFaxNumber-25353792,AccountingClerkInternetAddress-25353792,ntingClerkPhoneNumber-25353792,t-25353792,3792,2,CustomerAccountNote-25353792,e-25353792,true,53792,92,2003-01-08,92,true,true,792,2,t-25353792,3792,3792,true,true,t-25353792,true,stomer-25353792,true,p-25353792,3792,92,3792
y-25353793,3793,3793,mer-25353793,93,countingClerkFaxNumber-25353793,AccountingClerkInternetAddress-25353793,ntingClerkPhoneNumber-25353793,t-25353793,3793,3,CustomerAccountNote-25353793,e-25353793,false,53793,93,2013-12-03,93,false,false,793,3,t-25353793,3793,3793,false,false,t-25353793,false,stomer-25353793,false,p-25353793,3793,93,3793
y-25353794,3794,3794,mer-25353794,94,countingClerkFaxNumber-25353794,AccountingClerkInternetAddress-25353794,ntingClerkPhoneNumber-25353794,t-25353794,3794,4,CustomerAccountNote-25353794,e-25353794,true,53794,94,2022-05-23,94,true,true,794,4,t-25353794,3794,3794,true,true,t-25353794,true,stomer-25353794,true,p-25353794,3794,94,3794
y-25353795,3795,3795,mer-25353795,95,countingClerkFaxNumber-25353795,AccountingClerkInternetAddress-25353795,ntingClerkPhoneNumber-25353795,t-25353795,3795,5,CustomerAccountNote-25353795,e-25353795,false,53795,95,2021-01-25,95,false,false,795,5,t-25353795,3795,3795,false,false,t-25353795,false,stomer-25353795,false,p-25353795,3795,95,3795
y-25353796,3796,3796,mer-25353796,96,countingClerkFaxNumber-25353796,AccountingClerkInternetAddress-25353796,ntingClerkPhoneNumber-25353796,t-25353796,3796,6,CustomerAccountNote-25353796,e-25353796,true,53796,96,2010-11-14,96,true,true,796,6,t-25353796,3796,3796,true,true,t-25353796,true,stomer-25353796,true,p-25353796,3796,96,3796
y-25353797,3797,3797,mer-25353797,97,countingClerkFaxNumber-25353797,AccountingClerkInternetAddress-25353797,ntingClerkPhoneNumber-25353797,t-25353797,3797,7,CustomerAccountNote-25353797,e-25353797,false,53797,97,2013-07-13,97,false,false,797,7,t-25353797,3797,3797,false,false,t-25353797,false,stomer-25353797,false,p-25353797,3797,97,3797
y-25353798,3798,3798,mer-25353798,98,countingClerkFaxNumber-25353798,AccountingClerkInternetAddress-25353798,ntingClerkPhoneNumber-25353798,t-25353798,3798,8,CustomerAccountNote-25353798,e-25353798,true,53798,98,2014-05-22,98,true,true,798,8,t-25353798,3798,3798,true,true,t-25353798,true,stomer-25353798,true,p-25353798,3798,98,3798
y-25353799,3799,3799,mer-25353799,99,countingClerkFaxNumber-25353799,AccountingClerkInternetAddress-25353799,ntingClerkPhoneNumber-25353799,t-25353799,3799,9,CustomerAccountNote-25353799,e-25353799,false,53799,99,2019-02-20,99,false,false,799,9,t-25353799,3799,3799,false,false,t-25353799,false,stomer-25353799,false,p-25353799,3799,99,3799
y-25353800,3800,3800,mer-25353800,00,countingClerkFaxNumber-25353800,AccountingClerkInternetAddress-25353800,ntingClerkPhoneNumber-25353800,t-25353800,3800,0,CustomerAccountNote-25353800,e-25353800,true,53800,00,2012-11-04,00,true,true,800,0,t-25353800,3800,3800,true,true,t-25353800,true,stomer-25353800,true,p-25353800,3800,00,3800
y-25353801,3801,3801,mer-25353801,01,countingClerkFaxNumber-25353801,AccountingClerkInternetAddress-25353801,ntingClerkPhoneNumber-25353801,t-25353801,3801,1,CustomerAccountNote-25353801,e-25353801,false,53801,01,2013-06-17,01,false,false,801,1,t-25353801,3801,3801,false,false,t-25353801,false,stomer-25353801,false,p-25353801,3801,01,3801
y-25353802,3802,3802,mer-25353802,02,countingClerkFaxNumber-25353802,AccountingClerkInternetAddress-25353802,ntingClerkPhoneNumber-25353802,t-25353802,3802,2,CustomerAccountNote-25353802,e-25353802,true,53802,02,2011-02-06,02,true,true,802,2,t-25353802,3802,3802,true,true,t-25353802,true,stomer-25353802,true,p-25353802,3802,02,3802
y-25353803,3803,3803,mer-25353803,03,countingClerkFaxNumber-25353803,AccountingClerkInternetAddress-25353803,ntingClerkPhoneNumber-25353803,t-25353803,3803,3,CustomerAccountNote-25353803,e-25353803,false,53803,03,2002-10-27,03,false,false,803,3,t-25353803,3803,3803,false,false,t-25353803,false,stomer-25353803,false,p-25353803,3803,03,3803
y-25353804,3804,3804,mer-25353804,04,countingClerkFaxNumber-25353804,AccountingClerkInternetAddress-25353804,ntingClerkPhoneNumber-25353804,t-25353804,3804,4,CustomerAccountNote-25353804,e-25353804,true,53804,04,2018-05-22,04,true,true,804,4,t-25353804,3804,3804,true,true,t-25353804,true,stomer-25353804,true,p-25353804,3804,04,3804
y-25353805,3805,3805,mer-25353805,05,countingClerkFaxNumber-25353805,AccountingClerkInternetAddress-25353805,ntingClerkPhoneNumber-25353805,t-25353805,3805,5,CustomerAccountNote-25353805,e-25353805,false,53805,05,2019-07-01,05,false,false,805,5,t-25353805,3805,3805,false,false,t-25353805,false,stomer-25353805,false,p-25353805,3805,05,3805
y-25353806,3806,3806,mer-25353806,06,countingClerkFaxNumber-25353806,AccountingClerkInternetAddress-25353806,ntingClerkPhoneNumber-25353806,t-25353806,3806,6,CustomerAccountNote-25353806,e-25353806,true,53806,06,2013-11-01,06,true,true,806,6,t-25353806,3806,3806,true,true,t-25353806,true,stomer-25353806,true,p-25353806,3806,06,3806
y-25353807,3807,3807,mer-25353807,07,countingClerkFaxNumber-25353807,AccountingClerkInternetAddress-25353807,ntingClerkPhoneNumber-25353807,t-25353807,3807,7,CustomerAccountNote-25353807,e-25353807,false,53807,07,2000-11-16,07,false,false,807,7,t-25353807,3807,3807,false,false,t-25353807,false,stomer-25353807,false,p-25353807,3807,07,3807
y-25353808,3808,3808,mer-25353808,08,countingClerkFaxNumber-25353808,AccountingClerkInternetAddress-25353808,ntingClerkPhoneNumber-25353808,t-25353808,3808,8,CustomerAccountNote-25353808,e-25353808,true,53808,08,2003-07-10,08,true,true,808,8,t-25353808,3808,3808,true,true,t-25353808,true,stomer-25353808,true,p-25353808,3808,08,3808
y-25353809,3809,3809,mer-25353809,09,countingClerkFaxNumber-25353809,AccountingClerkInternetAddress-25353809,ntingClerkPhoneNumber-25353809,t-25353809,3809,9,CustomerAccountNote-25353809,e-25353809,false,53809,09,2010-10-08,09,false,false,809,9,t-25353809,3809,3809,false,false,t-25353809,false,stomer-25353809,false,p-25353809,3809,09,3809
y-25353810,3810,3810,mer-25353810,10,countingClerkFaxNumber-25353810,AccountingClerkInternetAddress-25353810,ntingClerkPhoneNumber-25353810,t-25353810,3810,0,CustomerAccountNote-25353810,e-25353810,true,53810,10,2020-07-13,10,true,true,810,0,t-25353810,3810,3810,true,true,t-25353810,true,stomer-25353810,true,p-25353810,3810,10,3810
y-25353811,3811,3811,mer-25353811,11,countingClerkFaxNumber-25353811,AccountingClerkInternetAddress-25353811,ntingClerkPhoneNumber-25353811,t-25353811,3811,1,CustomerAccountNote-25353811,e-25353811,false,53811,11,2013-09-11,11,false,false,811,1,t-25353811,3811,3811,false,false,t-25353811,false,stomer-25353811,false,p-25353811,3811,11,3811
y-25353812,3812,3812,mer-25353812,12,countingClerkFaxNumber-25353812,AccountingClerkInternetAddress-25353812,ntingClerkPhoneNumber-25353812,t-25353812,3812,2,CustomerAccountNote-25353812,e-25353812,true,53812,12,2017-07-18,12,true,true,812,2,t-25353812,3812,3812,true,true,t-25353812,true,stomer-25353812,true,p-25353812,3812,12,3812
y-25353813,3813,3813,mer-25353813,13,countingClerkFaxNumber-25353813,AccountingClerkInternetAddress-25353813,ntingClerkPhoneNumber-25353813,t-25353813,3813,3,CustomerAccountNote-25353813,e-25353813,false,53813,13,2021-09-22,13,false,false,813,3,t-25353813,3813,3813,false,false,t-25353813,false,stomer-25353813,false,p-25353813,3813,13,3813
y-25353814,3814,3814,mer-25353814,14,countingClerkFaxNumber-25353814,AccountingClerkInternetAddress-25353814,ntingClerkPhoneNumber-25353814,t-25353814,3814,4,CustomerAccountNote-25353814,e-25353814,true,53814,14,2007-04-20,14,true,true,814,4,t-25353814,3814,3814,true,true,t-25353814,true,stomer-25353814,true,p-25353814,3814,14,3814
y-25353815,3815,3815,mer-25353815,15,countingClerkFaxNumber-25353815,AccountingClerkInternetAddress-25353815,ntingClerkPhoneNumber-25353815,t-25353815,3815,5,CustomerAccountNote-25353815,e-25353815,false,53815,15,2008-12-11,15,false,false,815,5,t-25353815,3815,3815,false,false,t-25353815,false,stomer-25353815,false,p-25353815,3815,15,3815
y-25353816,3816,3816,mer-25353816,16,countingClerkFaxNumber-25353816,AccountingClerkInternetAddress-25353816,ntingClerkPhoneNumber-25353816,t-25353816,3816,6,CustomerAccountNote-25353816,e-25353816,true,53816,16,2022-06-19,16,true,true,816,6,t-25353816,3816,3816,true,true,t-25353816,true,stomer-25353816,true,p-25353816,3816,16,3816
y-25353817,3817,3817,mer-25353817,17,countingClerkFaxNumber-25353817,AccountingClerkInternetAddress-25353817,ntingClerkPhoneNumber-25353817,t-25353817,3817,7,CustomerAccountNote-25353817,e-25353817,false,53817,17,2021-02-03,17,false,false,817,7,t-25353817,3817,3817,false,false,t-25353817,false,stomer-25353817,false,p-25353817,3817,17,3817
y-25353818,3818,3818,mer-25353818,18,countingClerkFaxNumber-25353818,AccountingClerkInternetAddress-25353818,ntingClerkPhoneNumber-25353818,t-25353818,3818,8,CustomerAccountNote-25353818,e-25353818,true,53818,18,2022-04-02,18,true,true,818,8,t-25353818,3818,3818,true,true,t-25353818,true,stomer-25353818,true,p-25353818,3818,18,3818
y-25353819,3819,3819,mer-25353819,19,countingClerkFaxNumber-25353819,AccountingClerkInternetAddress-25353819,ntingClerkPhoneNumber-25353819,t-25353819,3819,9,CustomerAccountNote-25353819,e-25353819,false,53819,19,2013-10-27,19,false,false,819,9,t-25353819,3819,3819,false,false,t-25353819,false,stomer-25353819,false,p-25353819,3819,19,3819
y-25353820,3820,3820,mer-25353820,20,countingClerkFaxNumber-25353820,AccountingClerkInternetAddress-25353820,ntingClerkPhoneNumber-25353820,t-25353820,3820,0,CustomerAccountNote-25353820,e-25353820,true,53820,20,2009-10-20,20,true,true,820,0,t-25353820,3820,3820,true,true,t-25353820,true,stomer-25353820,true,p-25353820,3820,20,3820
y-25353821,3821,3821,mer-25353821,21,countingClerkFaxNumber-25353821,AccountingClerkInternetAddress-25353821,ntingClerkPhoneNumber-25353821,t-25353821,3821,1,CustomerAccountNote-25353821,e-25353821,false,53821,21,2011-05-15,21,false,false,821,1,t-25353821,3821,3821,false,false,t-25353821,false,stomer-25353821,false,p-25353821,3821,21,3821
y-25353822,3822,3822,mer-25353822,22,countingClerkFaxNumber-25353822,AccountingClerkInternetAddress-25353822,ntingClerkPhoneNumber-25353822,t-25353822,3822,2,CustomerAccountNote-25353822,e-25353822,true,53822,22,2003-12-29,22,true,true,822,2,t-25353822,3822,3822,true,true,t-25353822,true,stomer-25353822,true,p-25353822,3822,22,3822
y-25353823,3823,3823,mer-25353823,23,countingClerkFaxNumber-25353823,AccountingClerkInternetAddress-25353823,ntingClerkPhoneNumber-25353823,t-25353823,3823,3,CustomerAccountNote-25353823,e-25353823,false,53823,23,2023-09-04,23,false,false,823,3,t-25353823,3823,3823,false,false,t-25353823,false,stomer-25353823,false,p-25353823,3823,23,3823
y-25353824,3824,3824,mer-25353824,24,countingClerkFaxNumber-25353824,AccountingClerkInternetAddress-25353824,ntingClerkPhoneNumber-25353824,t-25353824,3824,4,CustomerAccountNote-25353824,e-25353824,true,53824,24,2008-04-06,24,true,true,824,4,t-25353824,3824,3824,true,true,t-25353824,true,stomer-25353824,true,p-25353824,3824,24,3824
y-25353825,3825,3825,mer-25353825,25,countingClerkFaxNumber-25353825,AccountingClerkInternetAddress-25353825,ntingClerkPhoneNumber-25353825,t-25353825,3825,5,CustomerAccountNote-25353825,e-25353825,false,53825,25,2010-12-24,25,false,false,825,5,t-25353825,3825,3825,false,false,t-25353825,false,stomer-25353825,false,p-25353825,3825,25,3825
y-25353826,3826,3826,mer-25353826,26,countingClerkFaxNumber-25353826,AccountingClerkInternetAddress-25353826,ntingClerkPhoneNumber-25353826,t-25353826,3826,6,CustomerAccountNote-25353826,e-25353826,true,53826,26,2002-01-31,26,true,true,826,6,t-25353826,3826,3826,true,true,t-25353826,true,stomer-25353826,true,p-25353826,3826,26,3826
y-25353827,3827,3827,mer-25353827,27,countingClerkFaxNumber-25353827,AccountingClerkInternetAddress-25353827,ntingClerkPhoneNumber-25353827,t-25353827,3827,7,CustomerAccountNote-25353827,e-25353827,false,53827,27,2003-05-25,27,false,false,827,7,t-25353827,3827,3827,false,false,t-25353827,false,stomer-25353827,false,p-25353827,3827,27,3827
y-25353828,3828,3828,mer-25353828,28,countingClerkFaxNumber-25353828,AccountingClerkInternetAddress-25353828,ntingClerkPhoneNumber-25353828,t-25353828,3828,8,CustomerAccountNote-25353828,e-25353828,true,53828,28,2023-10-23,28,true,true,828,8,t-25353828,3828,3828,true,true,t-25353828,true,stomer-25353828,true,p-25353828,3828,28,3828
y-25353829,3829,3829,mer-25353829,29,countingClerkFaxNumber-25353829,AccountingClerkInternetAddress-25353829,ntingClerkPhoneNumber-25353829,t-25353829,3829,9,CustomerAccountNote-25353829,e-25353829,false,53829,29,2023-01-03,29,false,false,829,9,t-25353829,3829,3829,false,false,t-25353829,false,stomer-25353829,false,p-25353829,3829,29,3829
y-25353830,3830,3830,mer-25353830,30,countingClerkFaxNumber-25353830,AccountingClerkInternetAddress-25353830,ntingClerkPhoneNumber-25353830,t-25353830,3830,0,CustomerAccountNote-25353830,e-25353830,true,53830,30,2021-09-14,30,true,true,830,0,t-25353830,3830,3830,true,true,t-25353830,true,stomer-25353830,true,p-25353830,3830,30,3830
y-25353831,3831,3831,mer-25353831,31,countingClerkFaxNumber-25353831,AccountingClerkInternetAddress-25353831,ntingClerkPhoneNumber-25353831,t-25353831,3831,1,CustomerAccountNote-25353831,e-25353831,false,53831,31,2020-02-27,31,false,false,831,1,t-25353831,3831,3831,false,false,t-25353831,false,stomer-25353831,false,p-25353831,3831,31,3831
y-25353832,3832,3832,mer-25353832,32,countingClerkFaxNumber-25353832,AccountingClerkInternetAddress-25353832,ntingClerkPhoneNumber-25353832,t-25353832,3832,2,CustomerAccountNote-25353832,e-25353832,true,53832,32,2000-12-28,32,true,true,832,2,t-25353832,3832,3832,true,true,t-25353832,true,stomer-25353832,true,p-25353832,3832,32,3832
y-25353833,3833,3833,mer-25353833,33,countingClerkFaxNumber-25353833,AccountingClerkInternetAddress-25353833,ntingClerkPhoneNumber-25353833,t-25353833,3833,3,CustomerAccountNote-25353833,e-25353833,false,53833,33,2016-08-03,33,false,false,833,3,t-25353833,3833,3833,false,false,t-25353833,false,stomer-25353833,false,p-25353833,3833,33,3833
y-25353834,3834,3834,mer-25353834,34,countingClerkFaxNumber-25353834,AccountingClerkInternetAddress-25353834,ntingClerkPhoneNumber-25353834,t-25353834,3834,4,CustomerAccountNote-25353834,e-25353834,true,53834,34,2011-04-30,34,true,true,834,4,t-25353834,3834,3834,true,true,t-25353834,true,stomer-25353834,true,p-25353834,3834,34,3834
y-25353835,3835,3835,mer-25353835,35,countingClerkFaxNumber-25353835,AccountingClerkInternetAddress-25353835,ntingClerkPhoneNumber-25353835,t-25353835,3835,5,CustomerAccountNote-25353835,e-25353835,false,53835,35,2012-11-06,35,false,false,835,5,t-25353835,3835,3835,false,false,t-25353835,false,stomer-25353835,false,p-25353835,3835,35,3835
